id_orang,nik,nama,id_jenis_kelamin,id_agama,id_pernikahan,id_golongan_darah,id_alamat,tempat_lahir_kota,tanggal_lahir
1,3573015607030003,Awwaliyah Aliyah,2,1,2,2,1,259,2003-07-16
2,3374016003070002,Hainun Anindita,2,1,2,4,2,220,2007-03-20
3,3201092211960004,"dr. Andi Wijaya, Sp.PK",1,1,2,2,3,161,1996-11-22
4,3174104509000002,Dewi Lestari,2,3,2,3,4,159,2000-09-05
5,3578021206880001,Eko Prasetyo,1,1,1,1,5,264,1988-06-12
6,3171011205860001,Rahmat Hidayat,1,1,1,4,6,156,1986-05-12
7,3273026108920003,Siti Aminah,2,1,1,1,7,181,1992-08-21
8,3374030501000005,Rudi Santoso,1,1,2,4,8,220,2000-01-05
9,3578055503960002,Sarah Hanum,2,1,1,2,9,264,1996-03-15
10,3471011808750002,"dr. Heru Setiawan, Sp.B",1,1,1,3,10,227,1975-08-18
11,6171011005880001,Stefanus Hartono,1,3,1,4,11,327,1988-05-10
12,3201026907980005,Martha Nuraini,2,1,2,1,13,181,1998-07-29
13,3578011501790001,"dr. Budi Santoso, Sp.OG",1,1,1,2,0,264,1979-01-15
14,3573026803850002,"dr. Rina Kusuma, Sp.KK",2,1,1,3,0,259,1985-03-28
15,3201011209810003,"dr. Fajar Nugroho, Sp.OT",1,1,1,1,0,161,1981-09-12
16,3578037007800004,"dr. Lina Marlina, Sp.M",2,1,1,4,0,264,1980-07-30
17,3174012604880005,"dr. Yusuf Hakim, Sp.S",1,1,1,2,0,159,1988-04-26
18,3273016209750001,"dr. Citra Dewi, Sp.A",2,1,1,1,0,181,1975-09-22
19,3276010107990004,Andika Pratama,1,1,1,1,0,12,1999-07-01
20,3277026402010003,Laila Kurnia,2,1,2,2,0,13,2001-02-24
21,3278035508950005,Rina Oktaviani,2,1,2,3,0,11,1995-08-15
22,3279044409020002,Nina Salsabila,2,1,2,2,0,5,2002-09-04
23,3279041508980003,Adi Nugroho,1,1,1,3,0,6,1998-08-15
24,3578041204850003,"dr. Agus Kurniawan, Sp.JP",1,1,1,1,5,264,1985-04-12
25,3374076509780002,"dr. Nuraini Safitri, Sp.PD",2,1,1,3,2,220,1978-09-25
26,3201011703920001,Jono Widodo,1,1,1,4,3,161,1992-03-17
27,3573055811910004,Yuliana Putri,2,1,2,2,4,259,1991-11-18
28,6471012205890002,Petrus Wibowo,1,3,1,1,11,363,1989-05-22
29,3471016304950003,Dewi Rahayu,2,4,2,4,10,227,1995-04-23
30,3578022809830001,Hendra Gunawan,1,1,1,2,5,264,1983-09-28
31,3374095002990006,Sari Indah Lestari,2,1,2,1,8,220,1999-02-10
32,3273010507870003,Anton Wijaya,1,1,1,3,7,181,1987-07-05
33,3201086803930002,Neni Fitriani,2,1,2,4,6,161,1993-03-28
34,3578011210810001,"dr. Reza Mahendra, Sp.An",1,1,1,2,0,264,1981-10-12
35,3174096301850004,"dr. Sinta Paramita, Sp.Rad",2,1,1,1,0,159,1985-01-23
